,Unnamed: 0,Make,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Width,Body_Type,Kerb_Weight,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Keyless_Entry,Power,Seats_Material,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Clock,Fuel-lid_Opener,Handbrake,Instrument_Console,Third_Row_AC_Vents,Ventilation_System,Airbags,Number_of_Airbags,Parking_Assistance,Seat_Height_Adjustment,Length_new,Average_Mileage
279,279,Jaguar,4633000.0,1997.0,4.0,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,61.0,Petrol,1850.0,Sedan,1639.0,8.0,Ventilated Disc,Ventilated Disc,Double wishbone,Independent Integral Link,205 / 55 R17,205 / 55 R17,Hydraulic Power,All Windows,Smart Key,250PS@5500RPM,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Automatic,Analog + Digital,Not Applicable,2 Zone Climate Control,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",6.0,Front and rear sensors,Electric Adjustment with Memory,3763.0,11.0
280,280,Jaguar,5436329.0,1999.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,74.0,Petrol,2091.0,Sedan,1730.0,8.0,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,235/55R17,235/55R17,Electric Power,All Windows,Remote,247PS@5500rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in","3 Years/1,00,000 Kms (Whichever comes earlier)",Digital,Internal,Automatic,Analog,Not Applicable,2 Zone Climate Control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",6.0,Front and rear sensors,Electric Adjustment,3960.5,9.41
281,281,Jaguar,6073446.0,1999.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,82.0,Petrol,1899.0,Sedan,1871.0,8.0,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,235/55R18,235/55R18,Electric Power,All Windows,Smart Key,247PS@5500rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in","3 Years/1,00,000 Kms (Whichever comes earlier)",Digital,Internal,Automatic,Analog,Not Applicable,2 Zone Climate Control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",6.0,Front and rear sensors,Electric Adjustment,4204.5,9.41
282,282,Jaguar,6138811.0,1999.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,83.0,Diesel,1899.0,Sedan,1871.0,8.0,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,235/55R18,235/55R18,Electric Power,All Windows,Smart Key,180ps@5500rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in","3 Years/1,00,000 Kms (Whichever comes earlier)",Digital,Internal,Automatic,Analog,Not Applicable,2 Zone Climate Control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",6.0,Rear sensors,Electric Adjustment,4204.5,12.514999999999999
283,283,Jaguar,5506622.0,1999.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,66.0,Diesel,2091.0,Sedan,1729.0,8.0,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,235/55R17,235/55R17,Electric Power,All Windows,Remote,180ps@5500rpm,Leather,Automatic,1.9927140255009108,"CD/MP3/DVD, USB, Aux-in","3 Years/1,00,000 Kms (Whichever comes earlier)",Digital,Internal,Automatic,Analog,Not Applicable,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",6.0,Front and rear sensors,Electric Adjustment,4013.5,12.514999999999999
284,284,Jaguar,4977080.0,1999.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,66.0,Diesel,2091.0,Sedan,1687.0,8.0,Ventilated Disc,Ventilated Disc,Adaptive Dynamics system,Adaptive Dynamics system,235/55R17,235/55R17,Electric Power,All Windows,Remote,180ps@5500rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in","3 Years/1,00,000 Kms (Whichever comes earlier)",Digital,Internal,Automatic,Analog,Not Applicable,2 Zone Climate Control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",6.0,Front and rear sensors,Electric Adjustment,4013.5,12.514999999999999
285,285,Audi,5038000.0,1395.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,50.0,Petrol,1793.0,Convertible,1430.0,7.0,Ventilated Disc,Ventilated Disc,McPherson Strut,Multi - link,205 / 55 R16,205 / 55 R16,Electric Power,All Windows,Smart Key,148 bhp @ 5100 rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Analog + Digital,Not Applicable,2 Zone Climate Control,"Driver frontal airbag, Driver head airbag, Front passenger frontal airbag, Front passenger head airbag, Front passenger side airbag, Drive side airbag, Driver knee airbag",7.0,Rear sensors,Electric Adjustment,3508.0,19.2
286,286,Audi,5442200.0,1984.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,73.0,Petrol,1874.0,Sedan,1780.0,7.0,Ventilated Disc,Ventilated Disc,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,225/55 R18,225/55 R18,Electric Power,All Windows,Smart Key,245PS@5000-6500rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,"Internal, With Remote",Automatic,Digital,Not Applicable,2 Zone Climate Control,"Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",8.0,Front and rear sensors,Electric Adjustment with Memory,3922.5,14.11
287,287,Audi,5942200.0,1984.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,73.0,Petrol,1874.0,Sedan,1780.0,7.0,Ventilated Disc,Ventilated Disc,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,225/55 R18,225/55 R18,Electric Power,All Windows,Smart Key,245PS@5000-6500rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,"Internal, With Remote",Automatic,Digital,Not Applicable,2 Zone Climate Control,"Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",8.0,Front and rear sensors,Electric Adjustment with Memory,3922.5,14.11
288,288,Bmw,5930000.0,1995.0,4.0,FWD,In-line,BS IV,"Front, Longitudinal",Injection,67.0,Diesel,1881.0,SUV,1785.0,8.0,Ventilated Disc,Ventilated Disc,Dynamic Damper Control,Dynamic Damper Control,225/60R19,225/60R19,Electric Power,All Windows,Smart Key,190PS@4000rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Automatic,Analog + Digital,Not Applicable,2 Zone Climate Control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6.0,Rear sensors,Electric Adjustment with Memory,3733.5,17.28
289,289,Bmw,5880000.0,1998.0,4.0,FWD,In-line,BS IV,"Front, Longitudinal",Injection,67.0,Petrol,1881.0,SUV,1785.0,8.0,Ventilated Disc,Ventilated Disc,Dynamic Damper Control,Dynamic Damper Control,245 / 50R19,245 / 50R19,Electric Power,All Windows,Smart Key,248 bhp @ 5200 rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Automatic,Analog + Digital,Not Applicable,2 Zone Climate Control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6.0,Rear sensors,Electric Adjustment with Memory,3733.5,17.28
290,290,Bmw,5600000.0,1995.0,4.0,FWD,In-line,BS IV,"Front, Longitudinal",Injection,67.0,Diesel,1881.0,SUV,1785.0,8.0,Ventilated Disc,Ventilated Disc,Dynamic Damper Control,Dynamic Damper Control,225/60R19,225/60R19,Electric Power,All Windows,Smart Key,190PS@4000rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Automatic,Analog + Digital,Not Applicable,2 Zone Climate Control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6.0,Rear sensors,Electric Adjustment with Memory,3733.5,17.28
291,291,Land Rover,5706000.0,1999.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,70.0,Diesel,2069.0,SUV,2087.0,9.0,Ventilated Disc,Ventilated Disc,McPherson Strut,Integral link,235/60 R18,235/60 R18,Electric Power,All Windows,Smart Key,179PS@4000rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",3 Years / 100000 km (whichever comes first),Digital,Internal,Automatic,Analog + Digital,Yes,Fully automatic climate control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag",7.0,Front and rear sensors,Manual Adjustment,3670.5,43.91912629757774
292,292,Land Rover,6089000.0,1999.0,4.0,FWD,In-line,BS VI,"Front, Transverse",Injection,70.0,Diesel,2069.0,SUV,2087.0,9.0,Ventilated Disc,Ventilated Disc,McPherson Strut,Integral link,235/60 R18,235/60 R18,Electric Power,All Windows,Smart Key,179PS@4000rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",3 Years / 100000 km (whichever comes first),Digital,Internal,Automatic,Analog + Digital,Yes,Fully automatic climate control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag",7.0,Front and rear sensors,Manual Adjustment,3670.5,43.91912629757774
293,293,Volvo,5890000.0,1969.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,52.28599156118143,Diesel,1879.0,Sedan,1391.3889515219842,5.891797556719022,Ventilated Disc,Ventilated Disc,Double wishbone suspension,Integral Axle with Transverse Composite Leaf Spring,245/45R18,245/45R18,Electric Power,All Windows,Smart Key,190PS@4250rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,"With Remote, Internal",Manual,Digital,Not Applicable,4 Zone climate control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags",6.0,Front and rear sensors,Manual Adjustment,3952.0,1144.0
294,294,Audi,7243000.0,2995.0,6.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,58.0,Petrol,1843.0,Sedan,1790.0,7.0,Ventilated Disc,Ventilated Disc,S sport suspension,S sport suspension,245/40R18,245/40R18,Electro-Hydraulic,All Windows,Smart Key,333PS@5400-6400RPM,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Automatic,Analog + Digital,Not Applicable,3 Zone climate control,"Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",10.0,Front and rear sensors,Electric Adjustment with Memory,3764.5,13.57
295,295,Bmw,7330000.0,2993.0,6.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,52.28599156118143,Diesel,2218.0,SUV,1391.3889515219842,8.0,Ventilated Disc,Ventilated Disc,Sports suspension settings,Self-levelling with pneumatic rear suspension,255/50R19,255/50R19,Electric Power,All Windows,Smart Key,265HP@4000rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Automatic,Analog + Digital,Not Applicable,4 Zone climate control,"Driver head airbag, Front passenger head airbag, Rear passenger head airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",8.0,Front and rear sensors,Electric Adjustment with Memory,3748.5,13.38
296,296,Bmw,8290000.0,2993.0,6.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,52.28599156118143,Diesel,2218.0,SUV,1391.3889515219842,8.0,Ventilated Disc,Ventilated Disc,Sports suspension settings,Self-levelling with pneumatic rear suspension,255/50R19,255/50R19,Electric Power,All Windows,Smart Key,265HP@4000rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Automatic,Analog + Digital,Not Applicable,4 Zone climate control,"Driver head airbag, Front passenger head airbag, Rear passenger head airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",8.0,Front and rear sensors,Electric Adjustment with Memory,3748.5,13.38
297,297,Bmw,8290000.0,2998.0,6.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,52.28599156118143,Petrol,2218.0,SUV,1391.3889515219842,8.0,Ventilated Disc,Ventilated Disc,Sports suspension settings,Self-levelling with pneumatic rear suspension,255/50R19,255/50R19,Electric Power,All Windows,Smart Key,340HP@4000rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Automatic,Analog + Digital,Not Applicable,4 Zone climate control,"Driver head airbag, Front passenger head airbag, Rear passenger head airbags, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag",8.0,Front and rear sensors,Electric Adjustment with Memory,3748.5,11.24
298,298,Ford,7462000.0,4951.0,8.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,60.9,Petrol,2080.0,"Sedan, Coupe",1391.3889515219842,6.0,Ventilated Disc,Ventilated Disc,Double Ball Joint MacPherson Strut with Stabilizer Bar,Integral Link Independent with Coil Springs & Stabilizer Bar,255/40 R19,275/40 R19,Electro-Hydraulic,All Windows,Smart Key,401PS@6550RPM,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in","2 Years / 100,000 Kms (whichever comes first)",Digital,"Internal, With Remote",Automatic,Analog + Digital,Not Applicable,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Driver knee airbag, Drive side airbag, Driver curtain airbag",8.0,Front and rear sensors,Electric Adjustment with Memory,3752.0,11.5
299,299,Jeep,7882867.0,2987.0,6.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,93.5,Diesel,1943.0,SUV,2432.0,5.891797556719022,Ventilated Disc,Ventilated Disc,Steel Suspension,Steel Suspension,265 / 60 R18,265 / 60 R18,Electro-Hydraulic,Only Front Windows,Remote,240PS@3600rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,With Remote,Automatic,Analog,Not Applicable,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6.0,Front and rear sensors,Electric Adjustment with Memory,3871.5,12.8
300,300,Jeep,8931819.0,2987.0,6.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,93.5,Diesel,1943.0,SUV,2455.0,5.891797556719022,Ventilated Disc,Ventilated Disc,Steel Suspension,Steel Suspension,265/50 R20,265/50R20,Electro-Hydraulic,Only Front Windows,Remote,240PS@3600rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 Years Unlimited Kilometres,Digital,With Remote,Automatic,Analog,Not Applicable,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag",6.0,Front and rear sensors,Electric Adjustment with Memory,3871.5,12.8
301,301,Jeep,11400000.0,6417.0,8.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,93.5,Petrol,1954.0,SUV,2458.0,8.0,Ventilated Disc,Ventilated Disc,Independent front suspensions with coil-over springs,Independent rear suspensions with coil-over springs,295/45R20,295/45R20,Electric Power,All Windows,Remote,468 bhp @ 6250 rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,With Remote,Automatic,Analog,Not Applicable,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",7.0,Front and rear sensors,Electric Adjustment with Memory,3880.5,12.8
302,302,Jeep,7515000.0,3604.0,6.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,93.5,Petrol,1943.0,SUV,2455.0,5.891797556719022,Ventilated Disc,Ventilated Disc,Steel Suspension,Steel Suspension,265/50 R20,265/50R20,Electric Power,Only Front Windows,Remote,286PS@6350rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 Years Unlimited Kilometres,Digital,With Remote,Automatic,Analog,Not Applicable,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag",6.0,Front and rear sensors,Electric Adjustment with Memory,3871.5,8.61
303,303,Maruti Suzuki,7711338.0,2996.0,6.0,FWD (Front Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,80.0,Petrol,1786.0,Convertible,1640.0,5.891797556719022,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",255/40 R18,255/35 R18,Electric Power,All Windows,Smart Key,334PS@6000RPM,Fabric,Manual,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Automatic,Analog,Not Applicable,2 Zone Climate Control,"Curtain airbags, Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Front passenger side airbag",6.0,Front and rear sensors,Manual Adjustment,3731.5,7.25
305,305,Porsche,8995000.0,1988.0,4.0,RWD (Rear Wheel Drive),Flat,BS IV,"Front, Longitudinal",Injection,54.0,Petrol,1801.0,Convertible,1440.0,5.891797556719022,Ventilated Disc,Ventilated Disc,Independent MacPherson Strut with Coil Springs and Gas Charged Shock Absorbers,Independent MacPherson Strut with Coil Springs and Gas Charged Shock Absorbers,235/40 R18,235/40 R18,Hydraulic Power,Only Front Windows,Remote,300PS@6500rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Manual,Analog,Not Applicable,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Curtain airbags",4.0,Front and rear sensors,Electric Adjustment,3427.0,8.2
306,306,Porsche,8595000.0,1988.0,4.0,RWD (Rear Wheel Drive),Flat,BS IV,"Front, Longitudinal",Injection,54.0,Petrol,1801.0,Coupe,1440.0,5.891797556719022,Ventilated Disc,Ventilated Disc,Independent MacPherson Strut with Coil Springs and Gas Charged Shock Absorbers,Independent MacPherson Strut with Coil Springs and Gas Charged Shock Absorbers,235/40 R18,235/40 R18,Hydraulic Power,All Windows,Remote,300PS@6500rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,Internal,Automatic,Analog + Digital,Not Applicable,Fully automatic climate control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",4.0,Front and rear sensors,Semi Automatic Adjustment,3427.0,8.2
307,307,Maruti Suzuki,8820000.0,2987.0,6.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,100.0,Diesel,1934.0,SUV,2535.0,7.0,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",275/55 R19,275/55 R19,Electric Power,All Windows,Remote,258PS@3600rpm,Leather,Automatic,1.9927140255009108,"CD/MP3/DVD, Aux-in",3rd years /Unlimited Kms (years/distance whichever comes first),Digital,Internal,Automatic,Analog,Not Applicable,2 Zone Climate Control,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Front passenger pelvic airbag, Driver pelvic airbag, Curtain airbags",9.0,Front and rear sensors,Electric Adjustment,4097.5,9.05
308,308,Maruti Suzuki,19199181.0,5461.0,8.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,80.0,Petrol,1982.0,SUV,2580.0,7.0,Solid Disc,Drum,Coil spring with stabilisers,coil spring with stabilisers,295 / 40 R21,295 / 40 R21,Electric Power,All Windows,Remote,557PS@5500RPM,Leather,Automatic,1.9927140255009108,"CD/MP3/DVD, USB, Aux-in",3rd years /Unlimited Kms (years/distance whichever comes first),Digital,Internal,Automatic,Analog,Not Applicable,Fully automatic climate control,"Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Front passenger pelvic airbag, Driver pelvic airbag, Curtain airbags, Driver frontal airbag",9.0,Front and rear sensors,Electric Adjustment,4110.5,10.5
309,309,Maruti Suzuki,8776900.0,2996.0,8.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,80.0,Petrol,1982.0,SUV,2580.0,7.0,Solid Disc,Drum,Coil spring with stabilisers,coil spring with stabilisers,295 / 40 R21,295 / 40 R21,Electric Power,All Windows,Remote,333PS@5250rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",3rd years /Unlimited Kms (years/distance whichever comes first),Digital,Internal,Automatic,Analog,Yes,Fully automatic climate control,"Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",9.0,Front and rear sensors,Electric Adjustment,4110.5,10.5
310,310,Maruti Suzuki,8690000.0,2996.0,8.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,80.0,Petrol,1982.0,SUV,2580.0,7.0,Solid Disc,Drum,Coil spring with stabilisers,coil spring with stabilisers,295 / 40 R21,295 / 40 R21,Electric Power,All Windows,Remote,333PS@5250rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",3rd years /Unlimited Kms (years/distance whichever comes first),Digital,Internal,Automatic,Analog,Yes,Fully automatic climate control,"Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags, Curtain airbags, Driver frontal airbag",9.0,Front and rear sensors,Electric Adjustment,4110.5,10.5
311,311,Maruti Suzuki,8690000.0,2987.0,6.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,100.0,Diesel,1934.0,SUV,2535.0,7.0,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",275/55 R19,275/55 R19,Electric Power,All Windows,Remote,258PS@3600rpm,Leather,Automatic,1.9927140255009108,"CD/MP3/DVD, Aux-in",3rd years /Unlimited Kms (years/distance whichever comes first),Digital,Internal,Automatic,Analog,Not Applicable,2 Zone Climate Control,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Curtain airbags, Front passenger pelvic airbag, Driver pelvic airbag",9.0,Front and rear sensors,Electric Adjustment,4097.5,9.05
312,312,Toyota,9630000.0,2982.0,4.0,FWD,In-line,BS IV,"Front, Longitudinal",Injection,87.0,Diesel,1885.0,SUV,1391.3889515219842,5.0,Ventilated Disc,Ventilated Disc,Double wishbone,4-Link with Air Spring,265/60R18,265/60R18,Electric Power,All Windows,Smart Key,173PS@3400rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",3 years /100000 Kms (years/distance whichever comes first),Digital,Internal,Manual,Analog + Digital,Yes,3 Zone climate control,"Curtain airbags, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag",7.0,Front and rear sensors,Electric Adjustment with Memory,3815.0,9.065000000000001
313,313,Lexus,9900000.0,3456.0,6.0,AWD (All Wheel Drive),V,BS IV,"Front, Transverse",Injection,65.0,Petrol,1895.0,SUV,2195.0,5.891797556719022,Ventilated Disc,Ventilated Disc,MacPherson strut type (Front),Double wishbone type,235/60VR18,235/60VR18,Electric Power,All Windows,Smart Key,262PS@6000rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Analog,"With Remote, Internal",Automatic,Analog + Digital,Not Applicable,2 Zone Climate Control,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",10.0,Front and rear sensors,Electric Adjustment with Memory,3895.0,18.4
314,314,Audi,11141200.0,2894.0,8.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,58.0,Petrol,1790.9402744148506,Coupe,1770.0,7.0,Ventilated Disc,Ventilated Disc,"Five-link front suspension, upper and lower wishbones, tubular anti-roll bar","trapezoidal-link rear suspension with resiliently mounted subframe, anti-roll bar",265/35R19,265/35R19,Electric Power,Only Front Windows,Smart Key,450PS@5700-6700rpm,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in",2 years / Unlimited Kms,Digital,"With Remote, Internal",Automatic,Analog + Digital,Not Applicable,4 Zone climate control,"Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6.0,Front and rear sensors,Electric Adjustment with Memory,4649.0,10.8
315,315,Bmw,12290000.0,2993.0,6.0,AWD (All Wheel Drive),V,BS VI,"Front, Longitudinal",Injection,78.0,Diesel,2169.0,Sedan,1391.3889515219842,8.0,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,(245/50 R18,(245/50 R18,Hydraulic Power,All Windows,Smart Key,265PS@4000RPM,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in","3 years/40,000 km",Digital,Internal,Automatic,Analog + Digital,Not Applicable,4 Zone climate control,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",8.0,Front and rear sensors,Electric Adjustment with Memory,4165.0,15.58
316,316,Bmw,13200000.0,2993.0,6.0,AWD (All Wheel Drive),V,BS VI,"Front, Longitudinal",Injection,78.0,Diesel,2169.0,Sedan,1391.3889515219842,8.0,Ventilated Disc,Ventilated Disc,Adaptive 2-axle air suspension,Adaptive 2-axle air suspension,245/45 R19,275/40 R19,Hydraulic Power,All Windows,Smart Key,265PS@4000RPM,Leather,Automatic,2.0,"CD/MP3/DVD, USB, Aux-in","3 years/40,000 km",Digital,Internal,Automatic,Analog + Digital,Not Applicable,4 Zone climate control,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",8.0,Front and rear sensors,Electric Adjustment with Memory,4165.0,15.58
